3171184,clamp,march 1965,posse,24 518
3510151,latch three point safety belt motor vehicles,may 1970,weman,280 808
4893835,vehicle seatbelt deflection device,january 1990,linden,280 808
5000481,locking device vehicle seat belts,march 1991,willson,280 808
5154446,shoulder belt adjustment device seat belt systems,october 1992,blake,280 808
5269050,cam type buckle,december 1993,yewer jr,24 170
5286090,web adjuster lock assembly child restraint seat,february 1994,templin et al,297 473
5350196,retraction locking device restraining belt,september 1994,atkins,280 808
5495646,seat belt comfort clamp,march 1996,scrutchfield et al,297 483
5579561,seat belt gripping device use child safety seats,december 1996,smith et al,24 170
